left_hand_angle,right_hand_angle,left_chest_angle,right_chest_angle,left_hip_angle,right_hip_angle,left_leg_angle,right_leg_angle,pose
331.1703217,12.63349309,355.5855112,357.3298129,2.371466379,48.11466048,0.317067219,224.6809469,tree
332.5407647,9.248000551,358.4862107,353.1199691,5.764202571,49.93366215,354.9719256,226.3307802,tree
0,14.89151974,0,356.5761796,2.568259641,47.09321463,359.1965258,240.7263034,tree
325.5584114,17.99047638,354.0997123,359.0103044,3.780276203,48.82770923,358.0947481,224.4229543,tree
0,0,0,0,0.548302494,48.68943584,4.257078009,226.7607001,tree
0,15.84001354,0,358.9310705,5.258171265,49.45795015,356.1861549,227.1992086,tree
0,0,0,0,3.716466386,53.2695581,5.195502639,219.6651869,tree
0,0,0,0,5.058482836,49.03769998,1.557828879,227.0356339,tree
343.8467671,16.25403059,5.709287799,357.5656201,359.4494672,49.47554958,1.725403947,230.0770169,tree
344.3145531,14.93031455,1.746171202,0.041581483,359.8774423,51.09730332,2.226587166,228.0782826,tree
343.3865198,25.04501002,3.018852854,4.651497734,4.754096457,0,358.1450856,0,tree
0,19.51401404,0,0.012479188,2.604282842,52.36537292,359.9873049,226.6341301,tree
334.0428377,18.79849642,0.394803612,357.894811,1.096952696,49.36825073,356.8699975,231.5775066,tree
0,0,0,0,4.163794975,50.02868667,0.268041611,228.6469425,tree
344.5008492,13.7143153,3.660913804,355.2142241,3.501870231,50.75177996,357.7685032,234.7030659,tree
336.5654123,24.50090029,359.0277687,0.859423788,6.076150107,51.61610797,357.3681596,227.7490914,tree
346.1085763,14.16770421,7.003647433,356.3463518,3.021213884,50.21028018,357.3349316,238.052451,tree
336.4160961,22.34769999,4.834353172,359.220166,1.306030301,50.0846263,0.606370456,222.7122789,tree
0,16.62934248,0,359.4201139,3.661356728,50.44865971,358.9333872,230.7403244,tree
336.8589069,12.9610525,358.3975691,358.9666264,1.63683311,47.29456112,0.652930175,225.5921467,tree
333.333277,22.06201792,356.4313036,1.747767668,3.699826596,50.4492828,357.9944527,231.1820367,tree
342.3096215,0,0.993176406,0,2.429489116,46.9201219,0.603060517,233.4264784,tree
342.282544,17.98686838,1.761309834,4.435688972,1.513355472,47.01161092,359.4153046,228.613819,tree
340.950097,10.62416289,1.865672335,358.7489292,2.058861224,47.01375309,0.361271932,232.03129,tree
336.6817408,16.35215515,357.2192856,1.536784324,2.12507618,48.87249757,359.0396817,229.7604254,tree
332.6044985,11.48517257,357.5400796,1.305848175,2.080068862,47.94619412,358.8905952,226.9534036,tree
338.856151,12.42156738,3.36277639,0.106721322,359.8403691,47.6376789,357.6965512,227.7248697,tree
332.4011899,15.00865518,357.0333529,1.241187722,2.823647969,49.71957301,359.1536835,230.3872958,tree
334.7172841,13.38221508,0.883939574,359.768594,359.0677293,47.5736916,359.6968041,232.3146233,tree
341.2152552,14.32083537,359.7472161,1.138711781,1.23974599,51.03498852,359.8138242,227.7125128,tree
0,14.44307679,0,356.9597738,1.668230824,50.6508418,0.19037403,228.6503982,tree
337.4673282,14.88507879,357.5462298,359.7043617,3.080328693,0,1.25804886,0,tree
336.1500498,13.9115453,359.4843834,356.5947092,2.271793619,53.19867276,0.357917061,233.9476436,tree
341.1563056,17.21360738,359.8524343,1.483334798,1.372247168,49.85492158,1.386292492,229.0361503,tree
341.4504908,19.81481643,5.050558404,358.8016191,0.011528782,49.63271141,2.432372106,231.5071664,tree
337.8164825,19.40338935,357.6333267,0.777482984,1.323910878,0,1.05607725,0,tree
344.3387003,12.36931157,2.903181928,355.5670759,359.9842967,45.95886969,359.147109,233.5856334,tree
0,16.51757964,0,356.6311288,1.833052552,49.70509475,359.4767088,233.9343083,tree
341.4416749,12.11559677,3.052882373,355.7728139,0.211516103,49.44285992,358.0535686,229.7157756,tree
341.3728952,10.18672897,2.490416391,356.0917655,0.135010666,44.9236827,0.260857242,228.3990221,tree
337.4321659,7.997515301,357.3766296,355.9576334,3.929953607,47.34754459,0.15452991,230.8210365,tree
339.2484242,2.899177097,359.6893516,349.3972884,2.314335019,48.22300859,0.084025999,237.001518,tree
347.043176,20.35142112,4.414827566,1.336658453,1.730141762,50.83895767,359.240332,232.8387499,tree
341.3961738,14.81113678,359.5529356,358.1631169,1.837185736,50.1428668,1.333938394,227.4045479,tree
344.8439132,9.34948449,2.027893173,358.3272831,1.764841735,50.24518298,0.364715944,228.0378619,tree
345.9277133,7.894939139,4.834218668,356.8232946,3.067793738,48.89793133,359.4353494,231.4496604,tree
345.1901659,9.529819984,0.230645039,355.1739558,4.467989973,48.33040822,358.6706318,229.1521738,tree
346.3199473,11.72836504,359.372219,355.8768901,6.175690319,48.79069551,357.5425098,223.4226662,tree
349.7437658,7.029530419,6.392473861,353.6489118,1.917161898,48.40380336,0.136876757,227.4647446,tree
348.0345399,14.52103916,1.472057413,359.5100914,5.991431144,48.78677967,359.238939,228.6304053,tree
348.8076767,4.296453461,4.398885241,354.7296309,3.904931393,48.07846534,357.9797394,226.6150521,tree
349.3911997,5.842560042,3.43187145,353.9145904,4.813952112,50.27375572,0.423635743,229.655685,tree
343.1135142,359.855836,0.888452476,351.4614685,4.900255916,50.79846529,359.5523094,227.4271411,tree
344.6905394,9.94379082,2.5818999,356.1066847,5.195838768,50.54840707,358.7198767,227.0930656,tree
350.9119944,0,6.893192316,0,1.771519542,47.78685515,0.287078355,228.9294726,tree
345.5706541,12.09626763,5.988062287,355.6071767,3.330525133,50.68217993,358.9333929,225.4853506,tree
348.0855466,15.39970735,3.055846595,357.2118473,3.919227071,50.56882889,359.254229,229.4548843,tree
348.2790122,8.958385297,1.908104999,353.2051992,6.06180768,52.14248178,359.074556,226.5479061,tree
355.6290076,10.28869536,4.972855892,353.7541849,4.772073763,0,359.3384435,0,tree
347.0933228,11.80880834,4.357264705,355.9962923,2.713214836,49.47124018,359.8810943,234.5710881,tree
344.3847706,12.08242028,359.8941369,359.1898526,5.247360393,47.27896748,358.6758832,237.0897023,tree
346.6804545,8.830146502,359.1287618,351.9915423,4.484545441,49.28121986,0.923470893,244.0637565,tree
345.1335493,0,0.261585758,0,6.686727806,52.7004881,358.0227037,236.4502445,tree
